tool,yyyy-mm,year,month,source,device,campaign,placement,creative,creative_dimensions,creative_type,creative_cat,impressions,clicks,ctr
DCM,2021-09,2021,09,Emodo,connected tv,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,2,0,0.0
DCM,2021-09,2021,09,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,20517,3,0.00014622020763269483
DCM,2021-09,2021,09,Emodo,phone,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,6,0,0.0
DCM,2021-09,2021,09,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,2289618,2337,0.0010206942817535501
DCM,2021-09,2021,09,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,97054,68,0.0007006408803346591
DCM,2021-09,2021,09,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,1,0,0.0
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,NU2333SpeakUp_Static_Mobile_320x50,320x50,banner small,image,56,0,0.0
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,NU2333SpeakUp_Static_Mobile_320x50,320x50,banner small,image,291920,369,0.0012640449438202246
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,NU2333SpeakUp_Static_Mobile_320x50,320x50,banner small,image,1782,4,0.002244668911335578
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,10256,2,0.0001950078003120125
DCM,2021-10,2021,10,Emodo,phone,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,6,0,0.0
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,2081736,2808,0.0013488742088333967
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,320x50,banner small,image,23043,16,0.0006943540337629649
DCM,2021-09,2021,09,Emodo,connected tv,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,4,0,0.0
DCM,2021-09,2021,09,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,139781,73,0.0005222455126233179
DCM,2021-09,2021,09,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,72420,90,0.0012427506213753107
DCM,2021-09,2021,09,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,204948,367,0.0017906981283057166
DCM,2021-09,2021,09,Emodo,connected tv,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,3,0,0.0
DCM,2021-09,2021,09,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,140842,66,0.00046861021570270234
DCM,2021-09,2021,09,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,72934,99,0.0013573916143362493
DCM,2021-09,2021,09,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,205745,335,0.0016282291185691026
DCM,2021-09,2021,09,Emodo,connected tv,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,2,0,0.0
DCM,2021-09,2021,09,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,148813,56,0.0003763112093701491
DCM,2021-09,2021,09,Emodo,phone,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,1,0,0.0
DCM,2021-09,2021,09,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,129282,32,0.0002475209232530437
DCM,2021-09,2021,09,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,295960,404,0.0013650493309906744
