tool,yyyy-mm,yyyymm,year,month,source,device,ad_content,pageviews,sessions,session_duration_sec,session_duration_hr,users,new_users,pageviews_per_session,pageviews_per_user,sessions_per_user,onsite_time_sec,onsite_time_hr,returning_ratio,calculated_atos
GA,2021-04,202104,2021,04,Aptus,,AptusDermicoolRetailDTP.NU1712.320x50,840,331,18129,5.035833333333334,254,251,2.5377643504531724,3.3070866141732282,1.3031496062992125,71.3740157480315,0.019826115485564306,0.9881889763779528,0.209826389
GA,2021-04,202104,2021,04,Aptus,,AptusDermicoolLTCDTP.NU1545.320x50,171,118,6001,1.6669444444444443,99,97,1.4491525423728813,1.7272727272727273,1.1919191919191918,60.61616161616162,0.016837822671156005,0.9797979797979798,0.069456019
GA,2021-04,202104,2021,04,Facebook,,FBNU1795.FBNU1795.1,1960,1840,18128,5.035555555555556,1767,1681,1.065217391304348,1.1092246745897,1.0413129598189022,10.259196378041878,0.0028497767716783,0.9513299377475948,0.209814815
GA,2021-04,202104,2021,04,Facebook,,FBNU1770.FBNU1770.1,941,883,12553,3.4869444444444446,842,819,1.0656851642129106,1.1175771971496438,1.0486935866983373,14.908551068883611,0.0041412641858010035,0.9726840855106889,0.145289352
GA,2021-04,202104,2021,04,Facebook,,FBNU1796.FBNU1796.1,163,142,1714,0.4761111111111111,132,118,1.147887323943662,1.2348484848484849,1.0757575757575757,12.984848484848484,0.003606902356902357,0.8939393939393939,0.019837963
GA,2021-04,202104,2021,04,HealthUnion,,ConditionCenter.NU1559Branded.300,84,77,1051,0.29194444444444445,75,67,1.0909090909090908,1.12,1.0266666666666666,14.013333333333334,0.003892592592592593,0.8933333333333333,0.012164352
GA,2021-04,202104,2021,04,MediaIQ,,SDPCrossixSegment.NU1624UnbrandedSymp.320,310,281,3970,1.1027777777777779,247,246,1.103202846975089,1.2550607287449393,1.1376518218623481,16.072874493927124,0.0044646873594242015,0.9959514170040485,0.045949074
GA,2021-04,202104,2021,04,MediaIQ,,SDPSwoopSegment.NU1624UnbrandedSymp.320,87,83,523,0.14527777777777778,80,80,1.0481927710843373,1.0875,1.0375,6.5375,0.0018159722222222223,1.0,0.006053241
GA,2021-04,202104,2021,04,MediaIQ,,SDPCrossixSegment.NU1559Branded.300,83,32,540,0.15,32,32,2.59375,2.59375,1.0,16.875,0.0046875,1.0,0.00625
GA,2021-04,202104,2021,04,MediaIQ,,SDPCrossixSegment.NU1623Unbranded50.300,34,32,251,0.06972222222222223,32,32,1.0625,1.0625,1.0,7.84375,0.0021788194444444446,1.0,0.002905093
GA,2021-04,202104,2021,04,Medicx,,SDPCustomCaregiver.NU1624UnbrandedSymp.320,146,136,4396,1.221111111111111,130,131,1.0735294117647058,1.123076923076923,1.0461538461538462,33.815384615384616,0.009393162393162393,1.0076923076923077,0.05087963
GA,2021-04,202104,2021,04,Medicx,,SDPCustomPatient.NU1624UnbrandedSymp.320,102,97,1051,0.29194444444444445,93,93,1.0515463917525774,1.096774193548387,1.043010752688172,11.301075268817204,0.0031391875746714457,1.0,0.012164352
GA,2021-04,202104,2021,04,Medicx,,SDPCustomPatient.NU1559Branded.300,376,76,3558,0.9883333333333333,75,75,4.947368421052632,5.013333333333334,1.0133333333333334,47.44,0.013177777777777778,1.0,0.041180556
GA,2021-04,202104,2021,04,Medicx,,SDPCustomCaregiver.NU1559Branded.300,295,64,2771,0.7697222222222222,64,64,4.609375,4.609375,1.0,43.296875,0.012026909722222222,1.0,0.032071759
GA,2021-04,202104,2021,04,Medicx,,SDPCustomCaregiver.NU1559Branded.728,195,36,1728,0.48,35,35,5.416666666666667,5.571428571428571,1.0285714285714285,49.371428571428574,0.013714285714285714,1.0,0.02
GA,2021-04,202104,2021,04,ParkinsonsNewsToday,,ROS.NU1623Unbranded50.300,76,55,2946,0.8183333333333334,45,40,1.3818181818181818,1.6888888888888889,1.2222222222222223,65.46666666666667,0.018185185185185186,0.8888888888888888,0.034097222
GA,2021-04,202104,2021,04,ParkinsonsNewsToday,,ROS.NU1559Branded.300,70,51,2084,0.5788888888888889,48,45,1.3725490196078431,1.4583333333333333,1.0625,43.416666666666664,0.012060185185185186,0.9375,0.02412037
GA,2021-04,202104,2021,04,ParkinsonsNewsToday,,ROS.NU1624UnbrandedSymp.300,47,37,801,0.2225,36,32,1.2702702702702702,1.3055555555555556,1.0277777777777777,22.25,0.0061805555555555555,0.8888888888888888,0.009270833
GA,2021-04,202104,2021,04,Sharecare,,SharecareSDPPerformanceDisplay.NU1559Branded.1,468,333,27157,7.543611111111111,304,302,1.4054054054054055,1.5394736842105263,1.0953947368421053,89.33223684210526,0.02481451023391813,0.993421052631579,0.31431713
GA,2021-04,202104,2021,04,Sharecare,,SDPPerformanceDisplay.NU1559Branded.1,116,89,6290,1.7472222222222222,87,86,1.303370786516854,1.3333333333333333,1.0229885057471264,72.29885057471265,0.02008301404853129,0.9885057471264368,0.072800926
GA,2021-04,202104,2021,04,Sharecare,,SDPMR.NU1559Branded.300,174,55,1026,0.285,54,53,3.1636363636363636,3.2222222222222223,1.0185185185185186,19.0,0.005277777777777777,0.9814814814814815,0.011875
GA,2021-04,202104,2021,04,Sharecare,,SDPMR.NU1623Unbranded50.300,54,47,1244,0.34555555555555556,46,45,1.148936170212766,1.173913043478261,1.0217391304347827,27.043478260869566,0.007512077294685991,0.9782608695652174,0.014398148
GA,2021-04,202104,2021,04,Sharecare,,SDPMR.NU1624UnbrandedSymp.300,45,43,357,0.09916666666666667,43,43,1.0465116279069768,1.0465116279069768,1.0,8.30232558139535,0.002306201550387597,1.0,0.004131944
GA,2021-04,202104,2021,04,Sharecare,,SDPPerformanceDisplay.NU1559Branded.300,35,26,2519,0.6997222222222222,24,24,1.3461538461538463,1.4583333333333333,1.0833333333333333,104.95833333333333,0.029155092592592594,1.0,0.029155093
GA,2021-04,202104,2021,04,Swoop,,SDPCustom.NU1559Branded.728,440,268,1787,0.4963888888888889,210,208,1.6417910447761195,2.0952380952380953,1.276190476190476,8.50952380952381,0.0023637566137566135,0.9904761904761905,0.02068287
GA,2021-04,202104,2021,04,Swoop,,SDPCustom.NU1624UnbrandedSymp.728,237,227,6264,1.74,198,195,1.0440528634361232,1.196969696969697,1.1464646464646464,31.636363636363637,0.008787878787878787,0.9848484848484849,0.0725
