Source,Month of Year,Device Category,Ad Content,Sessions,Users,New Users,Pageviews,Session Duration,Calculated AToS
Acuity,202104,,AcuityCrossixTargeting.SD_1624_v3_Symptom.728,1,1,1,1,0,0
Acuity,202104,,AcuityPropensityTargeting.Dermicool_SDP_DTP_Unbranded_Symptom.320,1,1,1,1,0,0
Aptus,202104,,AptusDermicoolRetailDTP.NU1712.320x50,331,254,251,840,18129,0.209826389
Aptus,202104,,AptusDermicoolLTCDTP.NU1545.320x50,118,99,97,171,6001,0.069456019
Aptus,202104,,AptusDermicoolLTCDTP.NU1570.320x50,12,9,9,33,2623,0.030358796
Aptus,202104,,AptusDermicoolRetailDTP.NU1714.300x250,9,3,1,15,4010,0.046412037
Aptus,202104,,AptusDermicoolDistributionDTP.NU1825.320x50,5,2,0,5,0,0
Aptus,202104,,AptusDermicoolRetailDTP.NU1716.300x250,2,2,2,2,0,0
Aptus,202104,,AptusDermicoolLTCDTP.NU1546.300x250,1,1,1,1,0,0
Aptus,202104,,AptusDermicoolLTCHCP.NU1831.300x250,1,1,1,1,0,0
Facebook,202104,,FBNU1795.FBNU1795.1,1840,1767,1681,1960,18128,0.209814815
Facebook,202104,,FBNU1770.FBNU1770.1,883,842,819,941,12553,0.145289352
Facebook,202104,,FBNU1796.FBNU1796.1,142,132,118,163,1714,0.019837963
GoodRx,202104,,GoodRxBPNuplazied.NU1559Branded.728,5,5,5,9,3258,0.037708333
GoodRx,202104,,BSDermicool.NU1559Branded.160,4,1,0,5,1712,0.019814815
GoodRx,202104,,BSDermicoolQuetiapine.NU1559Branded.728,4,4,4,4,0,0
GoodRx,202104,,BSDermicoolParkinsonDisease.NU1559Branded.300,3,1,0,9,172,0.001990741
GoodRx,202104,,BSDermicoolQuetiapine.NU1559Branded.300,3,1,0,3,0,0
GoodRx,202104,,BSDermicool.NU1559Branded.728,2,2,2,4,159,0.001840278
GoodRx,202104,,BSDermicoolQuetiapine.NU1559Branded.160,2,2,2,2,0,0
GoodRx,202104,,GoodRxBPNuplazied.NU1559Branded.160,2,1,1,3,127,0.001469907
GoodRx,202104,,BSDermicoolParkinsonDisease.NU1559Branded.728,1,1,1,4,1868,0.02162037
GoodRx,202104,,GoodRxBPNuplaziedQuetiapine.NU1559Branded.160,1,1,1,1,0,0
Healthline,202104,,HealthlineContentCenter.SD_1624_v3_Symptom.300,1,1,1,1,0,0
HealthUnion,202104,,ConditionCenter.NU1559Branded.300,77,75,67,84,1051,0.012164352
HealthUnion,202104,,ConditionCenter.NU1623Unbranded50.300,28,26,25,37,3893,0.04505787
HealthUnion,202104,,SDDisplay.NU1623Unbranded50.300,20,17,15,28,2428,0.028101852
HealthUnion,202104,,ConditionCenter.NU1624UnbrandedSymp.300,19,19,16,23,859,0.00994213
HealthUnion,202104,,SDDisplay.NU1624UnbrandedSymp.300,18,17,14,20,506,0.005856481
HealthUnion,202104,,SDDisplay.NU1624UnbrandedSymp.320,6,6,5,20,2265,0.026215278
